record_id;machine_type;shift;operator_level;maintenance_done_recently;temperature_c;pressure_bar;vibration_mm_s;current_a;runtime_hours;humidity_pct;production_rate_units_h;defect_count_last_hour;days_since_maintenance;machine_status
100528;Conveyor;Morning;Intermediate;No;54.58;6.54;error;10.34;643.8;46.8;121,9;0;14;OK
100739;Pump;Morning;Intermediate;Yes;74.41;8.11;4.76;20.9;828.4;59.9;92.8;3;23;FAILURE
100276;Pump;Morning;junior;0;67.69;10.16;5.82;24.87;785.1;28,0;66.8;2;69;FAILURE
102058;Pump;M;Senior;;73,82;8.72 bar;1,88;15.91;1040.6;12.8;113.7;1;103;WARNING
102034;Pump;Morning;Intermediate;N;82.2;7.06;7.77 mm/s;26.9;675.5;67.5;N/A;2;13;FAILURE
102214;Pump;Night;Intermediate;yes;80,29;7.76;6.73;24.64;225.7;52.8;111.7;5;49;WARNING
100359;Pump;morning;Mid;0;62.67;6.05;6.44;29.5;1262.3;55.4 %;101.4;1;12;FAILURE
102576;Compressor;Morning;Intermediate;No;64.06;6.66;1.05;20.44;395.1;43.0;84.0;3;111;WARNING
101334;Conveyor;MORNING;junior;No;54.26;5.58;0.83;;443.5;71.7;116.4 u/h;0;107;OK
100255;CNC;Night;senior;No;74.83;4.83;0.59;16.71;305.5;40,9;85.5;2;26;OK
102530;Compressor;Night;Junior;No;84.88;9.41;2.44;27.45;1029.8;49.8;83.3;1;28;FAILURE
101471;Conveyor;AFT;Intermediate;Y;55,77;5.22 bar;2.43;15.13;984.1;53.0;110.9;0;28;OK
101819;Pump;morning;junior;no;56.72;6,93;1.49;17.27;1927.5;55,5;108.9;0;52;FAILURE
100582;Pump;Morning;Senior;no;72.5;6.86;2.12;25.66;420.2;58,4;92.4;1;23;OK
100767;CNC;Afternoon;Senior;No;;6,11;;17.14;715.9;60.2;82.5;3;35;FAILURE
100918;CNC;Morning;Jr;yes;66.17;5.42;6.52;27.56;397.3;39.6;;1;92;WARNING
101618;Compressor;Morning;Jr;No;79.31;3.92;1.75;24.01;785.7;41.6;96.4;1;48;FAILURE
101566;Pump;Morning;Intermediate;no;49.04;8.23;1.62;18.07;1365.8;55.2;85.5;0;56;FAILURE
101952;CNC;Afternoon;Senior;0;57.41;5.59;2.0;17,76;535.2;35.7;98.1;0;47;OK
100310;CNC;afternoon;Intermediate;no;65.67;7.21;3.13;18.96;1241.0;59.8;123.2;0;85;FAILURE
102176;Compressor;morning;Junior;yes;66.3;7.48;2.45;17.59;749.8;37.9;106,9;3;59;WARNING
101808;Pump;A;junior;No;84.76;;1.45;unknown;223.4;error;96.9;1;67;OK
100718;CNC;Morning;Senior;yes;78.12;5.36;2.41;21.25;746.7;49.9;96.9;3;63;FAILURE
100128;CNC;Morning;senior;No;68.83;5.41;1.32;17,8;895.7;48.7;;2;47;OK
101368;CNC;morning;Intermediate;Yes;67.82;6.8;7.08;17,27;416.3;21.1;122.5;2;95;WARNING
100707;Compressor;Morning;Intermediate;No;88.45;6.96;8.15;22.97;970.0;54.3;72.2;4;109;FAILURE
101201;Compressor;MORNING;junior;no;74.18;8.86;0.54;30.56;1093.0;22.0 %;76.9;1;101;FAILURE
102019;Compressor;afternoon;intermediate;N;99.9;;3.85;29.65;656.7;37.2;76,0;2;101;FAILURE
100720;Conveyor;Morning;intermediate;Yes;49.08;4.99;5.63;15.78;689.2;;124,7;0;12;OK
101492;Conveyor;Night;Junior;0;;7.03;3.64;17.1;696.3;47.3;118.7;2;3;FAILURE
101018;Conveyor;Morning;Intermediate;No;62.99;6.21;;18.41;727.2;50.9;88.3;1;76;OK
101741;CNC;MORNING;Senior;No;73.92;5.18;1.47;21.5;672.3;26.3;140.5;2;61;OK
101458;Pump;Night;Senior;No;91.01;unknown;3.06;15.98;1200.8;35.6;87.1;1;19;FAILURE
101872;Pump;MORNING;Junior;no;81.69;7.73;0.99;21.29;745.0;38.9;106.4;2;48;OK
100267;CNC;Afternoon;Senior;Yes;61.11;5.12;1.09;;547.6;36.4;98.6;2;65;OK
100514;CNC;Afternoon;Intermediate;No;;;3.61;13.76;803.2;20.9;109.0 u/h;6;88;FAILURE
100270;CNC;morning;junior;No;74.8;4.7;2.32;19.98;397.8;31.4;85.8;2;118;OK
101422;Pump;Morning;Intermediate;No;78.6;5.78;1.82;19.09;309.6;?;90.7;4;111;OK
102021;Compressor;Morning;Junior;No;60.1;5.48;5.51;26.71;;39.4;90.1;2;82;WARNING
101848;Compressor;Afternoon;Intermediate;No;95.86;9.13;2.8;23.46;1362.4;73.3;79.1;2;102;FAILURE
101091;CNC;Morning;Senior;N;61.28;4.96;4,57;17.27;832.1 h;48.9;76.0;1;80;WARNING
102265;Compressor;Afternoon;senior;no;87.03;8.65;3.46;24.83;448.0 h;44.6;92.6;1;11;OK
102341;CNC;Night;Senior;;85.22 C;6.81;3.18;13.2;1046.4;37.5;130.2;4;97;FAILURE
100351;Compressor;Morning;Intermediate;No;74.91;6.56;3.19;33.56;366.8 h;40.5;93.2;1;28;OK
100073;Conveyor;Afternoon;Senior;No;67.79 C;4.84;4.05;12.13;1113.2;60.3 %;141.1;1;66;WARNING
101739;Pump;Afternoon;Junior;No;89.62;5.15;2.85;19.7;468.2;18.8;109.5;3;92;WARNING
101934;Conveyor;Afternoon;Mid;Yes;N/A;7.44;0.22;15.38;1391.3;77.2;109.7;0;21;WARNING
102406;CNC;Afternoon;Senior;No;65.34;5.61;0.8;12.59;830.8;69.0;104.4;1;4;OK
101551;CNC;MORNING;Junior;No;63.87;5.97;3.75;20.18;752.2;11.5;82.2;0;16;OK
101694;Compressor;afternoon;Junior;N;;6.82;0.82;19.29;1043.8;44.9;90.7 u/h;3;81;FAILURE
102248;Compressor;Afternoon;intermediate;No;87.3;8.4;1.94;25.04;661.4;53.6;94,6;3;15;OK
100392;CNC;NIGHT;Sr;No;81.66;7.94;2.22;23.51;549.6;39.2;109.3;0;64;WARNING
101392;Conveyor;Afternoon;Intermediate;No;59.53;2.39;2.04;18.99;1145.7;19.3;90,2;0;78;WARNING
100334;Conveyor;Night;Intermediate;No;66.86;5.94;1,6;12.3;564.5;38.9;85.2;1;90;OK
100298;Conveyor;Morning;Intermediate;No;60,06;5.8;3.17;9,83;786.4;37.0;;2;108;WARNING
100624;Pump;Afternoon;junior;N;61.33;6.22;0.24;23.45;615.6;48.2;error;0;53;OK
100129;CNC;Afternoon;Intermediate;Yes;65.22;7.76;;19.1;609.3;36.5;104.9;5;117;FAILURE
100481;Pump;Morning;Sr;no;76.73;6.69;1.33;23.85;1334.2;55.8;85.8;4;90;FAILURE
102072;Pump;Morning;Senior;No;84.05;;0.83;18.41;398.3;56,9;98.0;0;111;OK
102062;CNC;N;Senior;No;86,92;4.75;1.62;12.38;377.2;29.0;71.0;1;12;OK
100875;Compressor;Afternoon;senior;Y;76.65;7,12;1.72;20.67;1284.8;37,1;106.9;1;2;FAILURE
100725;CNC;AFT;Intermediate;Yes;65.6;7.62;1.98;21.15;488.5;61.5;107.2;2;59;OK
102582;Conveyor;A;intermediate;No;71.6;5.2;1.08;13.87;1324.1;48.4;128.2;0;60;FAILURE
102093;Compressor;Night;senior;Y;105.56;8.06;2.85;17.51;376.8;44.9;104.5;2;68;OK
100294;CNC;Afternoon;;No;65.9;5.88;4.93;21.33;835.4;37.7;113.7;1;51;WARNING
101864;Pump;Night;Junior;No;99.95;8.03;2.9;20.16;;37.6;83.6;4;33;FAILURE
102432;Compressor;Night;Senior;No;105.84;7.69;4.8;error;655,9;;113.6;4;69;FAILURE
100100;Conveyor;Night;Jr;No;61.74;5.53;2.97;13,26;724,2;57.3;125.7;2;19;WARNING
101391;Conveyor;Night;intermediate;No;81,78;5.86;2.24;14.91;1443.5;50.8;134.5;4;110;FAILURE
100371;Compressor;AFT;junior;No;97.61;7.82;2.78;18.43;198.8;30.7;76.2;1;70;OK
100366;Pump;Afternoon;Junior;0;85,14;7.32 bar;6.58;9.13;346.3;44.0;95.9;2;100;FAILURE
101363;Compressor;Afternoon;Junior;No;93.88;8.18;2.53;12.6;323.7;62.7;64.9;1;67;WARNING
102025;Pump;Morning;Intermediate;No;89.04;8.37;8.7;19.4;1245.9;32.8;87.4;7;4;FAILURE
101450;CNC;N;Intermediate;No;82,82;6.0;3.97;17,96;337.3;33.5;121.3;3;81;OK
102236;Conveyor;Night;Mid;no;60.39;6.0;0.5;17.16;1156.1;unknown;104.0;0;32;OK
102527;Conveyor;Afternoon;Junior;No;67.16;6.76;3.31;;652.2;49.8;123.3;2;23;WARNING
