machine_type,shift,maintenance_done_recently,runtime_hours,production_units,avg_load_pct,temperature_c,vibration_mm_s,idle_minutes,days_since_maintenance,energy_kwh
Compressor,Afternoon,No,17.27,1254,81.5,88.3,2.59,43.9,75,379.3
CNC,Afternoon,No,6.46,1008,84.8,67.9,0.99,11.1,119,293.3
CNC,Afternoon,No,12.35,653,75.9,75.4,1.84,29.3,72,238.8
CNC,Afternoon,Yes,14.45,1121,41.3,69.3,2.6,40.5,57,225.0
CNC,Afternoon,No,11.88,714,72.3,79.2,8.53,32.7,91,278.8
Conveyor,Night,No,17.93,354,56.9,68.9,0.92,28.8,28,264.2
Conveyor,Morning,No,1.35,446,51.5,42.9,1.04,45.0,6,184.2
CNC,Afternoon,Yes,6.81,667,92.5,93.7,2.09,86.0,87,271.0
Conveyor,Afternoon,No,23.13,651,45.8,38.7,2.87,46.1,89,264.0
Conveyor,Night,No,1.94,842,28.3,57.0,4.14,26.7,12,160.8
Pump,Afternoon,No,9.69,883,83.8,48.6,0.77,58.0,109,269.3
CNC,Afternoon,No,4.61,1186,90.0,75.4,1.02,47.9,38,235.3
Conveyor,Afternoon,Yes,16.96,742,64.0,35.5,1.58,7.3,33,214.1
CNC,Night,Yes,18.99,702,62.9,64.8,4.81,56.0,114,302.5
Compressor,Afternoon,Yes,6.42,962,100.0,74.0,0.34,37.4,72,276.5
Compressor,Afternoon,No,17.79,1144,99.4,77.5,1.59,23.7,80,375.7
Conveyor,Morning,No,3.08,673,31.4,39.9,1.16,30.9,60,179.1
CNC,Night,No,1.1,798,63.0,69.4,1.29,23.4,37,237.2
Compressor,Afternoon,No,5.62,877,78.2,106.1,2.25,36.6,102,275.6
Pump,Morning,Yes,11.54,471,43.4,43.5,1.44,73.8,63,196.7
CNC,Morning,No,16.2,971,89.0,57.4,1.78,15.6,52,284.2
CNC,Morning,No,11.11,1025,97.0,68.5,2.93,46.9,19,279.3
Pump,Afternoon,Yes,4.04,1033,46.5,67.0,3.66,76.5,42,243.0
Compressor,Morning,No,1.65,949,100.0,72.7,5.19,41.6,114,336.0
CNC,Morning,No,16.99,879,80.1,61.5,1.89,24.6,45,296.4
CNC,Night,No,9.29,724,56.6,65.4,0.49,26.2,49,192.0
Pump,Morning,Yes,10.66,706,42.0,41.7,5.94,22.3,119,264.1
Compressor,Morning,No,6.74,1322,70.2,101.1,1.26,62.0,65,311.9
Conveyor,Night,No,15.55,663,31.4,52.0,1.11,37.6,37,215.4
Compressor,Morning,No,5.89,1234,62.4,75.4,3.29,36.6,85,257.6
Conveyor,Morning,No,13.5,637,47.7,41.8,0.8,14.3,4,184.7
Conveyor,Afternoon,No,17.35,558,45.3,46.5,3.18,66.5,5,246.4
CNC,Afternoon,No,6.27,1071,77.8,80.5,1.23,38.6,61,274.2
Conveyor,Morning,Yes,13.09,503,62.8,40.6,0.24,54.7,99,235.6
Compressor,Morning,No,16.14,1313,78.3,96.4,8.5,55.1,25,384.8
CNC,Night,No,19.44,829,61.1,65.3,3.69,66.1,70,295.1
Compressor,Afternoon,No,21.89,1162,86.5,91.2,3.26,65.7,17,399.4
Conveyor,Morning,No,14.62,488,58.3,35.5,1.33,67.8,114,252.5
Pump,Morning,No,13.93,490,50.4,37.2,2.02,54.8,71,233.6
Pump,Night,No,19.06,860,59.3,64.6,9.52,50.0,109,267.3
CNC,Night,No,6.32,1303,52.5,67.8,2.36,40.5,39,268.3
Compressor,Afternoon,No,11.72,1655,69.7,67.7,1.55,57.9,101,355.0
CNC,Morning,No,7.27,1401,75.0,62.1,1.34,36.0,65,241.5
Compressor,Morning,No,6.29,1251,79.8,69.6,3.98,28.4,27,291.9
CNC,Morning,No,18.04,1027,59.4,70.1,3.46,48.2,38,297.3
Pump,Night,No,1.62,593,37.6,61.7,1.99,58.4,11,202.0
CNC,Night,No,11.75,1021,42.5,65.3,1.22,66.5,91,287.3
CNC,Morning,No,14.25,1008,71.4,64.5,1.82,48.2,53,221.2
Pump,Afternoon,No,15.79,650,53.7,57.8,4.66,71.1,44,249.0
Pump,Morning,Yes,20.15,1054,52.5,58.7,2.11,44.0,87,244.3
CNC,Morning,No,19.36,997,84.1,57.7,2.07,37.5,104,323.1
CNC,Morning,No,5.21,849,75.0,60.8,4.02,7.6,61,246.4
CNC,Afternoon,No,7.41,604,86.1,66.1,1.66,30.8,74,285.3
Pump,Night,No,18.89,1172,46.1,56.8,0.58,59.8,79,279.9
Compressor,Morning,No,23.83,1296,100.0,83.9,5.86,63.5,119,417.0
Pump,Afternoon,No,5.66,836,68.4,57.3,2.59,52.4,24,267.4
Conveyor,Afternoon,Yes,23.65,551,38.4,56.5,0.53,81.1,102,252.4
Compressor,Afternoon,No,4.89,1215,95.1,69.5,0.55,70.2,90,319.5
CNC,Morning,No,12.74,963,84.1,54.7,1.78,40.1,6,313.3
Conveyor,Morning,No,3.81,658,41.6,44.8,4.8,31.7,69,190.2
Pump,Afternoon,Yes,18.38,537,47.1,47.7,3.4,2.7,113,219.4
Compressor,Morning,No,5.67,1082,100.0,91.6,0.57,63.2,43,318.1
Compressor,Afternoon,Yes,9.93,1196,81.9,69.1,0.78,0.0,29,321.4
Pump,Afternoon,No,5.89,751,61.9,58.0,2.45,68.6,54,212.0
Pump,Afternoon,No,5.52,624,55.7,44.8,3.15,73.5,77,241.0
CNC,Afternoon,Yes,3.21,626,28.8,70.2,7.22,66.8,51,228.4
Pump,Morning,No,3.13,952,51.3,37.1,3.95,60.2,58,236.8
Compressor,Night,No,23.4,1468,82.9,112.6,8.1,33.3,12,459.8
Conveyor,Afternoon,No,19.55,704,44.1,48.7,1.34,14.5,23,211.5
Pump,Morning,No,16.09,753,57.6,54.3,2.43,72.3,26,208.7
Pump,Morning,Yes,13.89,688,47.2,64.6,1.28,47.9,3,250.0
Pump,Morning,Yes,4.92,585,80.1,44.2,1.8,44.3,104,237.6
Pump,Afternoon,Yes,4.2,631,52.7,47.4,1.68,56.0,12,180.4
Compressor,Afternoon,No,20.61,1201,100.0,100.6,2.54,54.1,112,376.7
CNC,Afternoon,No,20.38,953,100.0,84.7,3.89,39.3,31,369.7
Pump,Night,No,7.23,722,74.9,52.4,1.53,48.5,117,287.9
Compressor,Night,No,8.23,957,81.6,73.8,0.74,34.5,99,280.0
Compressor,Morning,No,3.45,881,100.0,89.4,4.27,29.8,84,283.3
Pump,Morning,No,4.6,784,51.8,58.5,0.77,33.3,64,167.6
Pump,Night,Yes,14.24,584,78.1,46.9,2.8,61.8,109,248.9
CNC,Night,No,5.54,1167,86.6,80.4,0.86,67.9,37,341.2
Compressor,Morning,Yes,4.84,1280,89.9,75.9,1.45,42.9,32,303.8
CNC,Afternoon,Yes,16.49,1342,77.7,59.4,1.25,20.7,60,248.4
Pump,Morning,No,20.35,835,48.9,59.3,1.59,54.0,27,233.9
Pump,Night,Yes,6.14,870,54.4,62.0,1.69,45.3,112,243.4
Conveyor,Morning,No,9.24,673,63.5,45.4,1.92,48.6,59,208.9
Conveyor,Morning,No,17.18,669,55.3,42.4,0.34,113.2,35,210.3
Pump,Morning,Yes,6.58,874,88.4,50.4,3.59,75.9,112,295.7
Conveyor,Morning,No,8.59,619,50.3,40.9,1.58,43.3,27,170.8
Pump,Night,No,2.85,1071,83.0,74.3,1.53,55.0,102,255.7
Conveyor,Morning,No,13.53,711,32.4,45.9,1.15,57.2,39,226.2
Compressor,Afternoon,No,22.85,1215,89.1,93.1,3.37,50.0,112,385.3
Compressor,Afternoon,No,11.34,597,100.0,91.5,3.89,83.7,34,369.7
CNC,Night,No,17.69,655,100.0,77.9,2.52,78.3,115,383.0
CNC,Night,No,18.64,921,69.6,72.4,6.2,43.0,50,290.5
Pump,Night,No,1.5,774,37.3,51.2,0.74,46.6,15,184.2
CNC,Afternoon,No,11.13,836,84.4,57.8,1.28,39.6,65,261.8
Conveyor,Night,No,3.79,756,40.0,40.3,2.07,37.0,109,175.4
CNC,Morning,No,7.36,877,47.2,78.7,3.64,38.1,70,183.8
CNC,Afternoon,No,21.06,930,100.0,64.9,1.37,64.5,3,366.1
Compressor,Morning,No,4.51,865,73.6,77.5,2.11,21.4,46,267.5
Pump,Morning,Yes,20.65,607,79.0,48.9,0.8,72.0,47,252.5
Conveyor,Morning,Yes,1.57,594,42.0,44.8,2.35,38.2,76,162.4
CNC,Night,No,11.18,707,99.2,66.8,3.45,36.2,12,315.5
Pump,Morning,No,12.89,1014,61.3,46.9,1.1,51.6,94,282.5
Compressor,Night,No,1.57,895,96.7,79.3,3.15,31.4,48,292.0
Conveyor,Night,No,21.76,578,42.8,51.2,0.43,29.4,21,224.6
CNC,Afternoon,No,14.93,1026,77.0,81.2,1.28,24.8,91,287.2
Compressor,Morning,No,12.81,1114,81.4,85.2,2.62,33.0,28,323.3
CNC,Afternoon,No,15.19,1040,74.4,61.6,3.08,38.3,100,283.3
Compressor,Night,Yes,5.95,1105,88.2,87.7,2.21,0.0,100,293.6
Pump,Afternoon,Yes,15.95,742,75.1,58.4,0.78,28.1,61,237.5
CNC,Afternoon,Yes,15.33,709,67.0,81.0,2.16,65.1,97,225.6
CNC,Afternoon,Yes,18.63,1109,83.7,76.5,2.98,28.6,74,398.1
