customer_id,orders_12m,spend_12m_eur,website_visits_90d,avg_discount_rate,return_rate,days_since_last_order,support_tickets_12m,avg_order_value_eur,mobile_share,newsletter_open_rate,loyalty_years
1,4.0,80.54,7.0,0.238,0.056,16.0,0.0,21.01,0.028,0.256,0.24
2,22.0,2415.74,65.0,0.014,,8.0,3.0,109.75,0.254,0.119,1.98
3,8.0,789.73,29.0,0.042,0.015,14.0,2.0,103.0,0.136,0.335,1.96
4,3.0,449.67,29.0,0.072,0.064,11.0,0.0,152.33,0.084,0.282,2.76
5,8.0,672.52,27.0,0.043,0.072,17.0,2.0,84.74,0.119,0.22,3.32
6,15.0,576.64,43.0,0.423,0.143,5.0,1.0,37.85,0.603,0.32,0.97
7,1.0,53.38,1.0,0.022,0.011,89.0,1.0,53.38,0.177,0.0,1.26
8,8.0,135.23,5.0,0.155,0.051,12.0,0.0,17.42,0.296,0.304,2.35
9,32.0,1762.94,48.0,0.049,0.025,10.0,4.0,55.48,0.319,0.357,2.12
10,11.0,464.59,18.0,0.109,0.073,13.0,0.0,41.27,0.188,0.35,2.16
11,2.0,10.12,4.0,0.206,0.063,40.0,1.0,4.74,0.36,0.174,1.36
12,0.0,125.16,4.0,0.0,0.047,146.0,0.0,125.16,0.319,0.29,0.65
13,47.0,1317.52,39.0,0.087,,13.0,1.0,27.99,0.199,0.258,1.78
14,9.0,1962.61,43.0,0.056,0.068,12.0,1.0,223.73,0.636,0.332,1.55
15,13.0,610.06,38.0,0.159,0.033,22.0,0.0,45.58,0.393,0.28,2.2
16,14.0,1141.5,54.0,0.48,0.062,9.0,1.0,83.54,0.407,0.189,1.6
17,8.0,431.33,23.0,0.178,0.08,12.0,2.0,55.28,0.682,0.087,2.54
18,21.0,481.25,25.0,0.047,0.083,5.0,1.0,23.33,0.751,0.197,2.27
19,2.0,91.49,11.0,0.118,0.05,24.0,1.0,38.73,0.435,0.22,0.35
20,3.0,208.19,7.0,0.066,0.079,10.0,1.0,63.3,0.024,0.347,0.92
21,13.0,502.38,38.0,0.146,0.057,8.0,0.0,38.25,0.671,0.109,0.76
22,5.0,509.79,36.0,0.174,0.0,18.0,1.0,110.4,0.384,0.237,2.09
23,24.0,1644.35,55.0,0.083,0.0,4.0,2.0,68.88,0.398,0.252,3.07
24,0.0,143.94,11.0,0.09,0.054,40.0,1.0,143.94,0.452,0.369,1.54
25,17.0,625.06,32.0,0.127,0.098,7.0,1.0,37.26,0.376,0.234,2.95
26,17.0,492.01,29.0,0.155,0.084,15.0,1.0,28.85,0.807,0.142,1.46
27,1.0,159.49,6.0,0.183,0.046,65.0,0.0,159.49,0.45,0.139,1.93
28,18.0,558.48,28.0,0.062,0.046,14.0,2.0,30.81,0.712,0.078,2.23
29,12.0,485.23,32.0,0.0,0.04,14.0,0.0,41.05,0.116,0.486,0.64
30,6.0,361.56,40.0,0.026,0.027,7.0,2.0,59.78,0.129,0.0,2.03
31,6.0,112.51,11.0,0.239,0.047,62.0,0.0,18.19,0.411,0.252,2.19
32,18.0,804.3,36.0,0.274,0.047,21.0,0.0,45.9,0.167,0.063,2.05
33,15.0,490.41,19.0,0.424,0.048,29.0,1.0,33.27,0.436,0.196,1.46
34,32.0,1860.01,27.0,0.073,0.046,0.0,1.0,58.56,0.19,0.121,1.75
35,12.0,604.73,40.0,0.216,0.069,13.0,0.0,49.96,0.451,0.016,1.66
36,2.0,80.28,3.0,0.147,0.0,111.0,0.0,52.3,0.554,0.124,0.93
37,12.0,851.79,35.0,0.116,0.044,12.0,1.0,73.42,0.153,0.221,2.28
38,8.0,694.13,22.0,0.156,0.049,14.0,0.0,90.11,0.248,0.195,1.76
39,1.0,92.8,2.0,0.232,0.057,44.0,0.0,62.21,0.227,0.1,2.3
40,10.0,270.07,29.0,0.179,0.021,5.0,2.0,27.15,0.578,0.287,2.48
41,32.0,2190.96,49.0,0.021,0.0,3.0,1.0,68.21,0.437,0.424,2.67
42,13.0,479.4,27.0,0.159,0.025,13.0,1.0,37.0,0.267,0.236,0.58
43,3.0,83.24,8.0,0.165,0.081,49.0,1.0,26.71,0.176,0.251,1.16
